      S          J EXP       ERROR       J REG       I REG

  0.1754E+00  0.6438E+01  0.1227E+00  0.6341E+01  0.6341E+01
  0.1760E+00  0.6212E+01  0.1166E+00  0.6286E+01  0.6286E+01
  0.1767E+00  0.6298E+01  0.1132E+00  0.6233E+01  0.6233E+01
  0.1773E+00  0.6198E+01  0.1329E+00  0.6180E+01  0.6180E+01
  0.1779E+00  0.6143E+01  0.1289E+00  0.6129E+01  0.6129E+01
  0.1785E+00  0.5910E+01  0.1285E+00  0.6079E+01  0.6079E+01
  0.1791E+00  0.6029E+01  0.1161E+00  0.6030E+01  0.6030E+01
  0.1797E+00  0.6026E+01  0.1753E+00  0.5982E+01  0.5982E+01
  0.1803E+00  0.5966E+01  0.3387E+00  0.5936E+01  0.5936E+01
  0.1809E+00  0.5960E+01  0.2827E+00  0.5890E+01  0.5890E+01
  0.1815E+00  0.5924E+01  0.1805E+00  0.5845E+01  0.5845E+01
  0.1821E+00  0.5882E+01  0.1483E+00  0.5801E+01  0.5801E+01
  0.1827E+00  0.5948E+01  0.1619E+00  0.5759E+01  0.5759E+01
  0.1833E+00  0.5735E+01  0.1661E+00  0.5717E+01  0.5717E+01
  0.1840E+00  0.5702E+01  0.1303E+00  0.5676E+01  0.5676E+01
  0.1846E+00  0.5776E+01  0.1264E+00  0.5636E+01  0.5636E+01
  0.1852E+00  0.5592E+01  0.1220E+00  0.5597E+01  0.5597E+01
  0.1858E+00  0.5709E+01  0.1363E+00  0.5558E+01  0.5558E+01
  0.1864E+00  0.5469E+01  0.1261E+00  0.5520E+01  0.5520E+01
  0.1870E+00  0.5512E+01  0.1185E+00  0.5483E+01  0.5483E+01
  0.1876E+00  0.5421E+01  0.1259E+00  0.5447E+01  0.5447E+01
  0.1882E+00  0.5347E+01  0.1458E+00  0.5412E+01  0.5412E+01
  0.1888E+00  0.5364E+01  0.2400E+00  0.5377E+01  0.5377E+01
  0.1894E+00  0.5461E+01  0.2612E+00  0.5342E+01  0.5342E+01
